order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
08D,Server-Side Code,Secrets and Environment Variables,server-side-code/secrets-and-env,server,/lessons/server-side-code/secrets-and-env,"The lesson the section has been building toward: why a secret can never live in frontend code, how servers keep keys, what .env files are, and the one mistake that costs real money — plus Brian calls OpenAI on camera so nobody else has to pay."
09A,Infrastructure,Databases,infrastructure/databases,building,/lessons/infrastructure/databases,"Your API forgot everything when it restarted; here's the fix. Brian covers what a database conceptually is, SQLite versus the server-shaped databases like Postgres, just enough SQL to recognize it, Drizzle as your ORM of choice, and the thirty-second version of migrations."
09B,Infrastructure,Auth,infrastructure/auth,building,/lessons/infrastructure/auth,"You've logged into a million sites; time your site could do that. Brian covers the two words hiding inside 'auth', why you never hand-roll it, Better Auth as the open-source pick, how logging in actually works, and the bouncer's hallway where it all runs."
09C,Infrastructure,Hosting,infrastructure/hosting,building,/lessons/infrastructure/hosting,"Your app exists on a laptop that closes. Brian covers where software actually lives: static hosts, server hosting, serverless functions (surprise: you've been calling one all along), platforms like Replit that bundle everything — and the one anatomy every rented service shares."
09D,Infrastructure,Project Tinder Pets Forever,infrastructure/project-tinder-pets-forever,building,/lessons/infrastructure/project-tinder-pets-forever,"The pet saga's final act: your React app gets its own backend, real user accounts via Better Auth, and a memory via Drizzle and Postgres. Likes that survive restarts, logouts, and anything else — plus the longest trace of the course."
10A,Putting It All Together,MCP,putting-it-all-together/mcp,book-open,/lessons/putting-it-all-together/mcp,"Your assistant has been words-in, code-out this whole course. MCP gives it hands and eyes — the ability to actually check your GitHub, read your server logs, and operate your infrastructure. Brian covers what it is, how to wire it up, and the one thought experiment that keeps it safe."
10B,Putting It All Together,GitHub for Real,putting-it-all-together/github-for-real,book-open,/lessons/putting-it-all-together/github-for-real,"The promissory note from the git lesson, cashed: push, branches, and pull requests — which turn out to be the native workflow of coding agents. Brian covers the cloud half of git, the PR as a diff review at repo scale, and your first agent-opened pull request."
10C,Putting It All Together,Reading a Codebase,putting-it-all-together/reading-a-codebase,book-open,/lessons/putting-it-all-together/reading-a-codebase,"The destination lesson: a 1,500-line full-stack codebase you've never seen, read end to end. Brian draws the full where-code-runs map, formalizes the five-stop walk order, and tours the Family Recipe Box — strangers, joins, and all."
10D,Putting It All Together,Project Stranger's Code,putting-it-all-together/project-strangers-code,book-open,/lessons/putting-it-all-together/project-strangers-code,"The museum becomes a workshop: a ten-question scavenger hunt through the recipe box (no assistant allowed), then a real feature added to code you didn't write — forked, branched, PR'd, and reviewed like you own it. Because now you do."
11A,Debugging,How to Think About Bugs,debugging/how-to-think-about-bugs,bug,/lessons/debugging/how-to-think-about-bugs,"Debugging is the other half of building, and it runs on a loop you can learn. Brian covers what a bug actually is, the reproduce-first doctrine, the two questions that triage everything — and formally assembles the famous-errors catalog you've been collecting all course."
11B,Debugging,Debugging with an Agent,debugging/debugging-with-an-agent,bug,/lessons/debugging/debugging-with-an-agent,"Debugging as a two-player game. Brian covers why spamming 'fix it' at an agent is intellectual junk food, what a great bug report actually contains (hint: you don't need the diagnosis — you need the gap), when to let the agent drive, and how to tell a real fix from a bandage."
11C,Debugging,Preventing Bugs,debugging/preventing-bugs,bug,/lessons/debugging/preventing-bugs,"The best debugging session is the one that never happens. Brian covers the proofreader family — Prettier, ESLint, and your old friend tsc — plus unit tests as tripwires, end-to-end tests for the flows that matter, and the Playwright MCP that lets your agent verify its own work in a real browser."
11D,Debugging,Project Bug Backlog,debugging/project-bug-backlog,bug,/lessons/debugging/project-bug-backlog,"The most realistic project in the course: a bug backlog — seven user-filed tickets against a codebase you know, no stack traces, no hints. Reproduce, diagnose, fix on a branch, leave a tripwire on every grave — and burn the backlog down like the professional you've become."
12A,Capstone,The Spec,capstone/the-spec,rocket,/lessons/capstone/the-spec,"The graduation build begins — with no code at all. Brian covers what makes an idea capstone-shaped, three blessed project ideas plus the build-your-own checklist, the spec process at full ceremony, and the constitution you commit before the first line exists."
12B,Capstone,The Build,capstone/the-build,rocket,/lessons/capstone/the-build,"Nothing new to learn — everything to apply. Brian coaches the build: the per-milestone rhythm, what to do with mid-build ideas (file them, don't chase them), the wobble protocols for when it goes sideways, and the mid-build audit that keeps a codebase honest."
12C,Capstone,The Ship,capstone/the-ship,rocket,/lessons/capstone/the-ship,"Ship day. The agent provisions production itself — and you understand every step, because you once did them by hand. Brian covers the pre-flight, the three classic first-deploy failures, debugging a machine you can't see, and why the README is part of the product."
12D,Capstone,Watching It Run,capstone/the-monitoring-and-analytics,rocket,/lessons/capstone/the-monitoring-and-analytics,"Your app is live, which means two questions now live in your head: is it up, and is anyone using it? Brian covers monitoring with the tools you already own, adding privacy-friendly analytics in one script tag, and the owner's triad for when something feels off."
12E,Capstone,The Victory Lap,capstone/the-victory-lap,rocket,/lessons/capstone/the-victory-lap,"You shipped. Now: ways to grow this app (domains, AI inference, real users), full permission to stop right here, and the paths forward if you don't want to — plus one last request from Brian."
